topic,total,keto,WeightLossAdvice,EDAnonymous
0,20585,20246,315,24
1,14573,1173,1665,11735
2,11356,2370,1477,7509
3,10932,3335,5889,1708
4,8190,7753,111,326
5,7322,5106,1046,1170
6,6739,5992,649,98
7,6521,487,941,5093
8,5823,18,33,5772
9,5482,3758,293,1431
10,5426,1879,773,2774
11,4919,4891,11,17
12,4820,861,3494,465
13,4790,4644,89,57
14,4642,4551,37,54
15,3948,643,190,3115
16,3701,128,59,3514
17,3603,1559,1280,764
18,3601,1887,1577,137
19,3523,2997,194,332
20,3500,2946,150,404
21,3450,3271,112,67
22,2997,2090,846,61
23,2833,1258,212,1363
24,2622,534,1861,227
25,2580,394,2014,172
26,2472,34,98,2340
27,2295,786,1372,137
28,2201,1349,59,793
29,1978,464,73,1441
30,1970,19,48,1903
31,1914,762,696,456
32,1859,489,324,1046
33,1804,1799,5,0
34,1795,1003,598,194
35,1790,1039,571,180
36,1771,186,272,1313
37,1560,200,416,944
38,1551,636,20,895
39,1543,1537,4,2
40,1502,1498,1,3
41,1494,1490,2,2
42,1424,1016,212,196
43,1396,74,73,1249
44,1352,258,853,241
45,1314,10,15,1289
46,1310,38,140,1132
47,1279,633,108,538
48,1254,143,930,181
49,1249,1242,5,2
50,1204,1189,11,4
51,1188,1182,6,0
52,1185,294,29,862
53,1184,142,106,936
54,1167,602,480,85
55,1167,428,624,115
56,1083,543,367,173
57,1060,1005,21,34
58,1057,580,158,319
59,1032,85,418,529
60,989,955,26,8
61,983,214,125,644
62,980,666,237,77
63,948,909,12,27
64,936,898,10,28
65,841,435,84,322
66,821,107,59,655
67,803,729,24,50
68,800,794,4,2
69,797,730,34,33
70,778,711,36,31
71,773,18,3,752
72,703,121,197,385
73,696,376,78,242
74,691,140,543,8
75,678,628,14,36
76,677,675,2,0
77,670,631,24,15
78,649,99,123,427
79,641,616,21,4
80,640,211,389,40
81,640,605,27,8
82,624,612,10,2
83,607,106,302,199
84,598,595,2,1
85,585,580,3,2
86,581,167,330,84
87,580,573,6,1
88,566,437,76,53
89,566,177,331,58
90,561,65,39,457
91,556,225,255,76
92,543,513,12,18
93,530,34,496,0
94,530,14,8,508
95,517,8,2,507
96,514,142,292,80
97,506,31,366,109
98,483,59,38,386
99,468,111,289,68
100,463,181,240,42
101,459,52,69,338
102,448,94,56,298
103,448,43,361,44
104,446,441,2,3
105,443,437,4,2
106,438,426,9,3
107,434,429,2,3
108,427,51,355,21
109,426,422,3,1
110,426,303,44,79
111,415,106,184,125
112,410,399,10,1
113,406,29,368,9
114,405,392,13,0
115,403,361,16,26
116,397,324,33,40
117,394,390,4,0
118,393,381,4,8
119,385,274,27,84
120,379,123,241,15
121,365,47,17,301
122,364,77,219,68
123,362,315,5,42
124,359,159,46,154
125,353,330,19,4
126,352,5,11,336
127,341,17,2,322
128,340,340,0,0
129,340,66,3,271
130,336,306,17,13
131,333,271,20,42
132,331,318,10,3
133,327,225,52,50
134,313,308,5,0
135,311,306,5,0
136,307,307,0,0
137,304,11,5,288
138,303,96,187,20
139,301,289,6,6
140,295,36,133,126
141,293,129,25,139
142,289,67,97,125
143,286,42,126,118
144,277,147,89,41
145,273,202,18,53
146,270,198,29,43
147,266,29,33,204
