topic,total,Anarcho_Capitalism,Liberal,NeutralPolitics,Conservative,AskThe_Donald
0,60983,13935,309,72,43087,3580
1,30276,5252,164,223,22907,1730
2,25718,870,326,193,23096,1233
3,24052,6183,214,181,16794,680
4,22691,6055,204,191,15132,1109
5,18807,2134,187,200,15318,968
6,18754,4871,237,348,12445,853
7,17951,340,611,1576,13802,1622
8,16307,3406,129,106,11962,704
9,15987,1581,238,93,13363,712
10,12658,2152,112,45,9771,578
11,11986,550,123,18,10676,619
12,10954,2703,91,94,7605,461
13,10890,7895,15,47,2759,174
14,10423,2422,74,146,7460,321
15,10042,260,27,19,9535,201
16,9819,1917,27,4,7488,383
17,9015,685,114,276,7029,911
18,8318,602,120,111,7028,457
19,8208,8088,0,1,107,12
20,8161,127,82,0,7640,312
21,7812,473,95,168,6780,296
22,7732,733,61,16,6508,414
23,7349,1444,47,42,5420,396
24,7065,3021,88,194,3344,418
25,6630,358,80,9,5797,386
26,6560,2021,96,285,3922,236
27,6558,2598,26,68,3715,151
28,6496,841,83,22,5268,282
29,6289,1466,12,10,4644,157
30,5416,1691,36,11,3517,161
31,4980,207,189,128,4309,147
32,4972,1936,46,43,2723,224
33,4925,970,16,29,3299,611
34,4474,562,17,43,3688,164
35,4277,1008,10,3,2996,260
36,3624,2115,29,13,1327,140
37,3534,444,6,61,2897,126
38,3471,1156,3,174,2027,111
39,3203,816,13,0,2222,152
40,3197,41,10,0,3065,81
41,3185,406,36,16,2584,143
42,3175,427,85,1,2514,148
43,2928,235,19,16,2593,65
44,2900,294,3,1,2566,36
45,2777,725,16,17,1877,142
46,2621,152,91,21,2254,103
47,2493,1857,4,17,552,63
48,2033,197,3,2,1774,57
49,1989,611,18,23,1264,73
50,1986,139,5,0,1763,79
51,1963,809,10,52,1055,37
52,1956,1,0,1954,1,0
53,1865,165,22,17,1616,45
54,1803,192,26,3,1556,26
55,1798,803,3,6,849,137
56,1786,70,12,0,1678,26
57,1766,418,11,39,1229,69
58,1746,156,9,0,1506,75
59,1710,27,65,13,1497,108
60,1663,22,6,0,1524,111
61,1630,694,18,21,833,64
62,1569,20,12,0,1491,46
63,1554,566,13,7,906,62
64,1547,32,5,2,1454,54
65,1478,23,15,2,1334,104
66,1401,709,9,6,643,34
67,1381,1372,0,1,8,0
68,1356,600,27,27,645,57
69,1313,19,56,9,1196,33
70,1308,1189,0,6,105,8
71,1266,29,32,25,1144,36
72,1257,226,16,19,699,297
73,1239,994,0,28,213,4
74,1219,103,4,0,1072,40
75,1207,37,8,6,1140,16
76,1207,11,2,0,1160,34
77,1166,150,8,0,931,77
78,1154,189,2,0,887,76
79,1122,52,0,54,976,40
80,1112,347,4,6,691,64
81,1072,346,14,21,642,49
82,1069,30,5,1,990,43
